,Source file,DateTime,Date,Time,Duration(s),Comments,Pyrite Type,Texture,Generation,Reef,Mg25,Mg25 Int2SE,Mg25 LOD,Al27,Al27 Int2SE,Al27 LOD,Si29,Si29 Int2SE,Si29 LOD,P31,P31 Int2SE,P31 LOD,S33,S33 Int2SE,S33 LOD,S34,S34 Int2SE,S34 LOD,K39,K39 Int2SE,K39 LOD,Ca43,Ca43 Int2SE,Ca43 LOD,Ti49,Ti49 Int2SE,Ti49 LOD,V51,V51 Int2SE,V51 LOD,Cr53,Cr53 Int2SE,Cr53 LOD,Mn55,Mn55 Int2SE,Mn55 LOD,Co59,Co59 Int2SE,Co59 LOD,Ni60,Ni60 Int2SE,Ni60 LOD,Cu65,Cu65 Int2SE,Cu65 LOD,Zn66,Zn66 Int2SE,Zn66 LOD,Ga71,Ga71 Int2SE,Ga71 LOD,Ge74,Ge74 Int2SE,Ge74 LOD,As75,As75 Int2SE,As75 LOD,Se77,Se77 Int2SE,Se77 LOD,Se82,Se82 Int2SE,Se82 LOD,Sr88,Sr88 Int2SE,Sr88 LOD,Zr90,Zr90 Int2SE,Zr90 LOD,Mo95,Mo95 Int2SE,Mo95 LOD,Ag107,Ag107 Int2SE,Ag107 LOD,Cd111,Cd111 Int2SE,Cd111 LOD,In115,In115 Int2SE,In115 LOD,Sn118,Sn118 Int2SE,Sn118 LOD,Sb121,Sb121 Int2SE,Sb121 LOD,Te125,Te125 Int2SE,Te125 LOD,Ba137,Ba137 Int2SE,Ba137 LOD,Ta181,Ta181 Int2SE,Ta181 LOD,W182,W182 Int2SE,W182 LOD,Pt195,Pt195 Int2SE,Pt195 LOD,Au197,Au197 Int2SE,Au197 LOD,Hg202,Hg202 Int2SE,Hg202 LOD,Tl205,Tl205 Int2SE,Tl205 LOD,Pb206,Pb206 Int2SE,Pb206 LOD,Pb207,Pb207 Int2SE,Pb207 LOD,Pb208,Pb208 Int2SE,Pb208 LOD,Bi209,Bi209 Int2SE,Bi209 LOD,Th232,Th232 Int2SE,Th232 LOD,U238,U238 Int2SE,U238 LOD,Ni61,Ni61 Int2SE,Ni61 LOD
252,CANIF-37 (3) 7.1.d,26/06/2015 (6) 18:29:02.78,26/06/2015 (6),0.770171065,8.5653,"CANIF-37 (3) 7.1.d, 6:29:04 PM (8.56 sec)_matrix ablation_descartar",NA,NA,NA,Holandez,495,77,2.1419,27000,2600,1.017,266000,44000,517.48,NA,NA,NA,NA,NA,NA,473000,29000,68062,NA,NA,NA,400,220,293.4,1360,270,3.2001,110.4,7.7,0.10808,1160,100,0.6099,7,1.1,1.8439,488,86,8.5066,193,20,94.269,52,15,0.62083,9.3,3.7,0.34482,NA,NA,NA,NA,NA,NA,1060,110,10.094,13.9,4.6,3.4372,8.9,3.6,7.1615,NA,NA,NA,NA,NA,NA,0.99,0.25,0,0.46,0.17,0.062525,NA,0.0057,0,NA,NA,NA,NA,0.78,1.6897,4.98,0.7,0.28554,3.6,1,1.2109,NA,NA,NA,0.45,0.18,0.048283,1.76,0.92,0.072542,NA,0.0013,0.057106,6.1,1.4,1.051,0.4,0.22,0.35811,0.55,0.25,0.10578,NA,NA,NA,NA,NA,NA,20.6,2.9,2.6471,8.7,1.9,0.21789,NA,NA,NA,10.4,3.3,0.32611,146,30,53.818
253,CANIF-37 (3) 8.1.d,26/06/2015 (6) 18:32:09.15,26/06/2015 (6),0.772328125,37.443,"CANIF-37 (3) 8.1.d, 6:32:09 PM (37.45 sec)",Subhedral (hydrothermal),Subhedral,Epigenetic,Holandez,NA,0.4,1.0681,NA,0.16,10.919,NA,58,15916,NA,NA,NA,NA,NA,NA,515000,26000,486.66,NA,NA,NA,109,54,103.87,10.7,1.5,1.3196,NA,0.021,0.058083,NA,0.078,0.8066,NA,0.2,0.54146,1.56,0.22,0.023134,109.3,6.7,0.31856,9.9,1.4,0.36602,0.74,0.26,0.18084,NA,NA,NA,NA,NA,NA,7,1.2,3.1059,17.9,2.4,1.0783,15.8,2,2.9061,NA,NA,NA,NA,NA,NA,NA,0.0029,0.043649,0.06,0.018,0.01708,NA,0.002,0,NA,NA,NA,NA,0.16,0.50061,NA,0.024,0.088877,NA,0.22,0.54266,NA,NA,NA,NA,7.90E-05,0.011799,NA,0.00026,0.0247,NA,0.0082,0.017192,2.86,0.59,0.011991,0.209,0.059,0.10981,NA,0.0084,0.032684,NA,NA,NA,NA,NA,NA,0.56,0.11,0.028577,0.058,0.015,0.012184,NA,NA,NA,0.81,0.17,0.048232,81.7,7.1,0.67905
254,CANIF-37 (3) 9.1.d,26/06/2015 (6) 18:34:11.62,26/06/2015 (6),0.773745602,37.447,"CANIF-37 (3) 9.1.d, 6:34:11 PM (37.70 sec)",Rounded massive core (detrital),Rounded,Detrital,Holandez,NA,0.089,0.23483,NA,0.14,1.7437,473,67,165.83,NA,NA,NA,NA,NA,NA,493000,26000,35905,NA,NA,NA,NA,46,95.839,9,1.2,1.2253,NA,0.016,0.023958,NA,0.056,0.15785,NA,0.22,0.59094,479,80,0.056481,471,23,6.3097,NA,0.16,0.89469,0.096,0.053,0.080781,NA,NA,NA,NA,NA,NA,4100,250,2.8467,20.3,2.5,1.2759,24.2,3.2,2.3526,NA,NA,NA,NA,NA,NA,NA,0.00051,0.01875,NA,0.0034,0.02482,NA,0.0023,0.18989,NA,NA,NA,NA,0.18,0.57737,NA,0.029,0.079741,NA,0.19,0.85774,NA,NA,NA,NA,7.40E-05,0.0084444,NA,0.00024,0,NA,0.0044,0.0066023,0.039,0.022,0.016755,0.299,0.061,0.13884,NA,0.0071,0.036436,NA,NA,NA,NA,NA,NA,0.043,0.022,0.013294,0.0393,0.0082,0.008263,NA,NA,NA,NA,0.0021,0.017287,333,22,2.6341
255,CANIF-37 (3) 9.2.d,26/06/2015 (6) 18:36:10.75,26/06/2015 (6),0.775124421,37.049,"CANIF-37 (3) 9.2.d, 6:36:11 PM (37 sec)",Subhedral overgrowth,Overgrowth,Epigenetic,Holandez,NA,0.16,0.54291,0.49,0.16,0.34654,490,75,148.99,NA,NA,NA,NA,NA,NA,506000,23000,32640,NA,NA,NA,NA,48,116.44,8.6,1.3,3.4657,0.03,0.019,0.012855,NA,0.1,0.29537,NA,0.17,0.61141,800,73,51.942,188.2,9.2,15.941,0.54,0.28,0.18184,NA,0.058,0.12959,NA,NA,NA,NA,NA,NA,900,51,143.27,27.5,2.6,1.7728,28.1,2.6,2.4914,NA,NA,NA,NA,NA,NA,NA,0.00048,0.018304,NA,0.0011,0.021216,NA,0.032,0,NA,NA,NA,0.5,0.17,0.46151,NA,0.03,0.068057,NA,0.21,0.5294,NA,NA,NA,NA,0.0012,0,NA,0.00023,0,NA,0.0028,0.01237,0.062,0.043,0,0.21,0.062,0.11668,NA,0.002,0.025603,NA,NA,NA,NA,NA,NA,NA,0.011,0.028725,NA,0.0032,0.0087775,NA,NA,NA,NA,0.00046,0.005633,137.4,8.5,10.241
256,CANIF-37.3-2.d,11/06/2015 (5) 10:55:34.69,11/06/2015 (5),0.455262616,38.561,"CANIF-37.3-2.d, 10:55:34 AM (38.5 sec)",Euhedral (hydrothermal),Euhedral,Epigenetic,Holandez,NA,1.9,8.9384,NA,0.56,3.9381,3630,310,1632.2,NA,0.55,0.090648,715000,34000,917.31,NA,NA,NA,3.5,5.2,0.26871,NA,220,1372.2,49.8,4.4,0.77007,0.125,0.036,0.022727,NA,0.16,0.41742,NA,0.12,0.32407,31.1,2.4,0.08899,50.3,5.8,0.21643,1.88,0.59,0.54893,1.05,0.26,0.59567,0.03,0.015,0.016327,NA,0.071,0.17245,2.1,2,0.52389,2.33,0.93,1.008,NA,1.6,3.2807,NA,0.00038,0,NA,0.00043,0,NA,0.0013,0.072135,NA,0.00076,0.030713,NA,0.17,0.41877,NA,0.0068,0.016532,NA,0.12,0.22446,NA,0.044,0.20267,NA,0.5,4.2043,NA,0.00083,0,NA,2.00E-04,0,NA,0.00069,0,NA,0.0091,0.023082,NA,0.01,0.03298,0.0331,0.0091,0.017479,NA,0.0067,0.041619,NA,0.029,0.053914,NA,0.025,0.12364,NA,0.016,0.023554,NA,0.0077,0.03838,NA,0.00036,0,NA,0.00038,0.054582,NA,NA,NA
257,CANIF-37.3-3.d,11/06/2015 (5) 10:57:38.15,11/06/2015 (5),0.456691551,37.02,"CANIF-37.3-3.d, 10:57:38 AM (37.0 sec)",Anhedral (hydrothermal),Anhedral,Epigenetic,Holandez,NA,1.6,12.904,NA,0.57,4.7475,3990,350,1130,0.41,0.55,0.10348,730000,44000,833.63,NA,NA,NA,NA,5.5,0.24346,NA,170,846.4,50.5,4.7,0.34475,0.157,0.049,0.021009,NA,0.083,0.33951,NA,0.12,0.2001,606,84,0.062233,307,39,0.15853,1.34,0.58,0.44258,0.88,0.3,0.43072,NA,0.012,0.026459,0.175,0.083,0.16182,1600,190,0.50764,16.1,2.9,1.4225,14.4,2.9,2.527,NA,0.00049,0,NA,0.00054,0.018903,NA,0.009,0,NA,0.024,0.039354,NA,0.2,0.47775,NA,0.0035,0.020383,NA,0.12,0.31499,3.13,0.63,0.12574,4.7,1.5,4.2955,NA,0.0011,0,NA,0.00026,0,NA,0.00086,0,NA,0.0066,0.021344,0.068,0.023,0.023416,0.042,0.01,0.01405,0.045,0.025,0.028874,1.55,0.4,0.058652,1.25,0.28,0.056594,0.81,0.2,0.042888,1.99,0.56,0.014816,NA,0.0074,0,0.004,0.012,0,NA,NA,NA
258,CANIF-37.3-4.d,11/06/2015 (5) 11:00:29.84,11/06/2015 (5),0.458678704,37.43,"CANIF-37.3-4.d, 11:00:29 AM (37.4 sec)",Anhedral (hydrothermal),Anhedral,Epigenetic,Holandez,NA,1.6,10.618,NA,0.63,3.9113,3710,320,1430.4,0.71,0.53,0.10887,719000,43000,828.85,NA,NA,NA,12.2,7.8,0.21508,NA,200,1474.3,43.7,4.4,0.58015,0.084,0.03,0.010849,NA,0.086,0.33676,0.46,0.15,0.23482,124,10,0.082673,115.1,7.4,0.29041,1.27,0.6,0.41945,1.39,0.32,0.48443,NA,0.014,0.027244,NA,0.063,0.13169,442,42,0.47411,3.1,1.1,1.5698,NA,1.4,2.9189,NA,0.00049,0.0236,NA,0.00057,0,NA,0.0017,0.053516,0.039,0.024,0.029197,NA,0.11,0.58542,NA,0.0019,0.0070129,NA,0.17,0.27923,19.2,2,0.12445,40.2,5.7,3.4497,NA,0.0011,0.41602,NA,0.0019,0.01651,0.123,0.063,0,NA,0.0036,0.031891,0.486,0.059,0.030094,0.0341,0.0093,0.018806,0.423,0.083,0.039647,11.8,1.5,0.041774,8.6,1.2,0.050784,6.1,0.71,0.064646,17.8,2.4,0.016418,NA,0.00051,0.12404,NA,6.00E-04,0.10344,NA,NA,NA
259,CANIF-37.3-5.d,11/06/2015 (5) 11:02:38.66,11/06/2015 (5),0.460169676,9.2271,"CANIF-37.3-5.d, 11:02:38 AM (9.2 sec)_quartz inclusion",NA,NA,NA,Holandez,63,33,8.6244,1280,400,3.5145,4860,870,1614.3,1.63,0.6,0.095753,610000,27000,38384,NA,NA,NA,59,18,0.23755,NA,200,1238.1,37.7,3.7,7.246,0.52,0.13,0.030976,6.5,1.3,0.20713,NA,0.14,0.24488,473,39,15.886,158,18,12.429,9.3,4.5,0.60136,1.17,0.39,0.51202,0.063,0.03,0.024896,NA,0.077,0.13326,651,66,5.5524,9,3.9,0.93595,9.8,2.1,2.3811,0.48,0.19,0.02087,NA,0.00024,0,NA,0.00068,0.027658,0.21,0.082,0.012886,NA,0.12,0.57114,NA,0.00014,0.015355,NA,0.25,0.2605,7.29,0.9,1.2713,36.5,7.1,17.405,0.49,0.35,0.36618,NA,0.00011,0,NA,0.00035,0.2043,NA,0.0071,0.032841,0.47,0.11,0.040958,0.022,0.012,0.015416,4.4,1.1,0.032667,33.3,5.4,1.1144,24.9,4.2,0.71083,17.8,2.9,0.48644,21,2.6,1.5682,NA,0.00023,0,NA,0.00025,0,NA,NA,NA
260,CANIF-37.3-6.d,11/06/2015 (5) 11:04:41.26,11/06/2015 (5),0.461588657,39.073,"CANIF-37.3-6.d, 11:04:40 AM (39.0 sec)",Anhedral (hydrothermal),Anhedral,Epigenetic,Holandez,39,13,8.9564,339,98,2.8091,3790,350,1273.7,1.1,0.54,0.10343,617000,30000,683.52,NA,NA,NA,13.1,8.4,0.22685,NA,150,1244,37.6,2.4,1.0487,0.205,0.052,0.022021,1.68,0.55,0.20451,1.29,0.3,0.24842,471,82,0.072942,253,33,0.15628,33,12,0.42649,2.5,0.44,0.32294,0.068,0.021,0.02783,NA,0.06,0.11701,630,110,0.46583,4.5,1.6,1.363,3.2,1.7,1.9372,0.57,0.26,0,0.0014,0.0071,0,0.117,0.06,0.061713,0.247,0.076,0,0.45,0.28,0.39866,NA,0.008,0.01383,1.33,0.28,0.20561,7.3,1.6,0.10939,11.7,2.1,3.2018,0.4,0.25,0,NA,0.001,0.025046,1.4,0.21,0.12626,NA,0.007,0.021769,0.392,0.067,0.024874,0.0363,0.0098,0.013342,0.137,0.043,0.030999,68,14,0.053561,65,13,0,51.4,9.9,0.043456,17.2,3.6,0.012705,0.17,0.15,0,0.158,0.081,0.094856,NA,NA,NA
261,CANIF-37.3-7.d,11/06/2015 (5) 11:06:42.31,11/06/2015 (5),0.462989699,10.055,"CANIF-37.3-7.d, 11:06:42 AM (10.0 sec)_fuchsite inclusion",NA,NA,NA,Holandez,790,200,12.433,1900,310,5.0556,8400,3100,1620.8,1.32,0.71,0.083211,573000,49000,45316,NA,NA,NA,234,51,0.21635,NA,280,1236.1,93,39,2.8177,1.25,0.24,0.035474,4.5,1.5,0.38182,2.8,1.3,0.22278,305,31,61.39,268,28,7.9059,3.15,0.84,0.45226,2.74,0.78,0.47504,0.174,0.034,0.018534,0.206,0.096,0.17256,955,84,5.8352,12.8,2.2,1.6906,17.2,3.1,2.0823,3.1,1.9,0.03311,7.6,3.9,0,NA,0.00078,0.066305,0.27,0.14,0.036765,NA,0.2,0.53651,0.0053,0.0097,0.0050556,NA,0.12,0.25676,3.53,0.63,0.14796,17.9,3.4,3.3773,2.28,0.85,0.20791,NA,0.014,0.032972,NA,0.053,0.069027,NA,0.019,0.032616,0.52,0.17,0.02611,0.0305,0.0044,0.017919,NA,0.0095,0.031599,87,16,0.33497,65,10,0.66843,45.2,7.5,0.54278,12.6,2.1,0.23615,0.85,0.68,0,0.58,0.25,0.10391,NA,NA,NA
262,CANIF37_3.1-1.d,11/06/2015 (5) 16:41:33.01,11/06/2015 (5),0.695520949,39.079,"CANIF37_3.1-1.d, 4:41:32 PM (39.0 sec)_quartz and rutile inclusions",Inclusion-bearing (core),Inclusion-bearing,Detrital,Holandez,2130,620,16.013,11800,2000,4.5911,149000,22000,1423.4,1.4,0.43,0.17361,635000,48000,75917,NA,NA,NA,930,190,0.30985,NA,290,1656.8,5400,1300,2.5552,12.3,2.4,0.046736,88,15,0.56061,7.9,7,0.45657,611,55,73.85,392,42,37.876,6.28,0.66,0.33596,3.6,1.3,0.34266,1,0.18,0.045808,0.365,0.097,0.13664,662,54,346.99,34.2,3.6,8.28,33.6,2.7,7.2444,14,7.4,0,16.3,6,0.025643,NA,0.017,0.035978,0.8,0.16,0.10234,NA,0.18,0.44433,NA,0.013,0.095053,NA,0.15,0.33983,9.63,0.97,0.13137,31.6,3.3,6.0756,12.7,3.7,0,4.9,1.2,0,12.6,3.2,0.072516,0.48,0.14,0.018369,1.25,0.2,0.038649,0.357,0.068,0.17694,0.071,0.047,0.042617,189,26,0.16479,148,18,0.035339,109,14,0.075818,43.6,4,0.20964,2.06,0.41,0.06485,1.07,0.3,0,NA,NA,NA
263,CANIF37_3.1-2.d,11/06/2015 (5) 16:43:25.62,11/06/2015 (5),0.696824306,38.221,"CANIF37_3.1-2.d, 4:43:25 PM (38.2 sec)",Pyrite rim (overgrowth),Overgrowth,Epigenetic,Holandez,NA,1.1,649.7,NA,0.38,3064.8,NA,140,18383,0.66,0.27,0.14055,608000,40000,41263,NA,NA,NA,11.1,6.5,2.5236,NA,160,1273.2,NA,2.6,68.263,NA,0.021,0.86996,NA,0.11,6.8377,NA,0.23,0.53332,1614,95,22.26,1122,57,24.437,0.58,0.25,0.3309,NA,0.19,1.2642,NA,0.019,0.14419,0.216,0.062,0.086356,5370,320,7.6338,23.9,2.4,2.6887,25.2,2.5,2.6897,NA,0.00063,0.59449,NA,0.0011,0.086387,NA,0.001,0.027522,NA,0.00073,0.042262,NA,0.057,0.36743,NA,0.0075,0.017518,NA,0.12,0.26577,NA,0.041,0.49835,NA,0.3,12.014,NA,0.0072,1.929,NA,0.0014,0.16581,NA,0.009,0.97824,NA,0.0063,0.024218,0.018,0.0091,0.013601,0.156,0.042,0.15123,NA,0.016,0.024508,NA,0.018,47.398,NA,0.015,38.933,NA,0.021,24.651,NA,0.025,2.4032,NA,0.00052,0.24252,NA,0.00041,0,NA,NA,NA
264,CANIF37_3.1-3.d,11/06/2015 (5) 16:45:35.99,11/06/2015 (5),0.698333218,38.098,"CANIF37_3.1-3.d, 4:45:35 PM (38.0 sec)",Pyrite rim (overgrowth),Overgrowth,Epigenetic,Holandez,NA,1.3,9.3923,NA,0.58,3.2315,1270,140,911.91,0.53,0.28,0.13646,570000,32000,51250,NA,NA,NA,15.3,5.5,0.28285,NA,140,1595.3,17.3,2.3,1.7854,0.072,0.028,0.023207,NA,0.097,0.24056,NA,0.18,0.34013,621,35,109.02,120.4,6,62.563,0.45,0.14,0.26339,0.32,0.18,0.25926,NA,0.02,0.056042,0.207,0.06,0.09221,571,24,96.538,21,2.4,3.0288,22.4,2.4,2.3469,NA,0.00057,0.0353,NA,0.001,0,NA,0.00086,0,NA,0.012,0.029446,NA,0.088,0.2737,NA,0.0073,0.016835,NA,0.12,0.2604,NA,0.043,0.097347,NA,0.19,2.2558,NA,0.007,0,NA,0.00014,0.024709,NA,0.00061,0.1156,NA,0.0098,0.020564,NA,0.0046,0.0098887,0.149,0.04,0.12384,NA,0.007,0.050726,0,0.012,0,NA,0.011,0.025594,NA,0.015,0.034576,NA,0.012,0.041787,NA,0.00044,0,NA,0.00038,0,NA,NA,NA
265,CANIF37_3.1-4.d,11/06/2015 (5) 16:47:35.61,11/06/2015 (5),0.699717708,28.798,"CANIF37_3.1-4.d, 4:47:35 PM (28.8 sec)_chlorite and quartz inclusions",Inclusion-bearing (core),Inclusion-bearing,Detrital,Holandez,5500,1900,9.3792,17500,4400,2.8005,21400,4100,913.27,1.18,0.31,0.093641,536000,35000,1173.7,NA,NA,NA,1640,360,0.29368,NA,180,1327.9,390,130,1.0136,12.2,3,0.031502,83,22,0.34161,3.96,0.99,0.36693,459,56,0.096458,229,19,0.21549,12.2,5,0.27308,2.95,0.79,0.21037,1.19,0.25,0.057882,0.323,0.078,0.09111,444,74,0.46316,22.8,2.4,0.73935,24.6,2.4,2.3204,4.5,1.2,0,5.4,2.2,0,NA,0.026,0.093346,0.52,0.14,0.014679,NA,0.16,0.43405,NA,0.006,0.020964,NA,0.14,0.25227,7.5,1.2,0.11963,25.2,3.1,2.472,18.3,5,0.23273,0.24,0.1,0.0171,1.32,0.51,0,NA,0.0078,0.0289,1.24,0.29,0.013076,0.141,0.045,0.10346,0.141,0.086,0.023637,158,29,0.055919,124,22,0.082596,86,15,0.028077,35.9,5.9,0.016634,0.33,0.12,0,0.234,0.089,0,NA,NA,NA
266,CANIF37_3.1-5.d,11/06/2015 (5) 16:58:26.60,11/06/2015 (5),0.707252315,39.409,"CANIF37_3.1-5.d, 4:58:26 PM (39.4 sec)",Subhedral (hydrothermal),Subhedral,Epigenetic,Holandez,NA,1.4,7.9117,230,170,3.3167,2310,540,1020.8,1.4,0.25,0.1268,566000,29000,471.64,NA,NA,NA,10.6,6.2,0.21546,NA,200,1976.7,18.9,1.6,0.65141,0.044,0.024,0.034142,NA,0.14,0.21596,NA,0.21,0.47352,119,16,0.097369,133,13,0.32777,0.81,0.26,0.38237,NA,0.15,0.5069,NA,0.024,0.056507,0.266,0.063,0.10387,12.4,2.1,0.55281,24.2,2.5,0.79553,24.2,2.3,2.5972,0.93,0.68,0,NA,0.00099,0.020507,NA,0.0012,0,0.035,0.026,0.016356,NA,0.15,0.81044,NA,0.0029,0.013486,NA,0.14,0.21859,0.24,0.11,0.12436,10.9,2.4,3.4486,NA,0.13,0.13015,NA,0.00014,0.060248,NA,0.00063,0,NA,0.012,0.02361,0.168,0.081,0.014591,0.436,0.066,0.13213,NA,0.017,0.033453,4,1.2,0.043511,3.11,0.82,0.079753,1.96,0.51,0.042045,1.58,0.35,0.025337,NA,0.00046,0.052936,NA,4.00E-04,0.10229,NA,NA,NA
267,CANIF37_3.1-6.d,11/06/2015 (5) 17:00:26.05,11/06/2015 (5),0.708634838,38.125,"CANIF37_3.1-6.d, 5:00:25 PM (38.1 sec)_mica inclusion:",Subhedral (hydrothermal),Subhedral,Epigenetic,Holandez,1410,220,16.005,111000,18000,1676.1,68000,11000,5565.5,7.7,1.3,0.21568,626000,50000,65783,NA,NA,NA,33,11,0.38281,NA,260,1444.8,21.1,3.4,2.1696,16.9,2.7,0.098245,155,19,0.39618,32.1,5.1,0.53509,406,36,5.3646,188,15,7.9145,52.8,6.1,0.37462,1.71,0.5,0.44091,6.17,0.99,0.06286,1.08,0.2,0.14515,834,85,0.85671,31.4,3.6,3.2714,34.8,3.6,4.0819,NA,0.07,3.4877,0.35,0.12,0.036322,0.2,0.11,0.071256,0.193,0.074,0.046008,NA,0.16,0.52404,NA,0.0089,0.016076,NA,0.2,0.3969,1.81,0.37,0.21409,NA,1,10.64,1.13,0.8,0.33303,NA,0.00029,0.024703,NA,0.021,0.075693,NA,0.0059,0.022645,0.075,0.021,0.073611,0.48,0.11,0.22385,0.022,0.022,0.014341,11.6,2.4,1.1399,2.92,0.8,0.37749,2.87,0.74,0.56819,3.39,0.53,0.38434,3.61,0.53,0,6.19,0.63,0,NA,NA,NA
268,CANIF37_3.1-7.d,11/06/2015 (5) 17:02:33.39,11/06/2015 (5),0.710108681,36.882,"CANIF37_3.1-7.d, 5:02:31 PM (36.9 sec)",Rounded massive (detrital),Rounded,Detrital,Holandez,NA,3.9,76.103,NA,3.8,6246.3,NA,170,4365,1.43,0.27,0.15417,557000,39000,25359,NA,NA,NA,NA,5.7,0.23935,NA,150,1432.3,17.6,2.2,0.67517,NA,0.025,0.34533,NA,0.12,2.2327,NA,0.18,0.54431,NA,0.27,20.705,NA,0.62,6.9358,NA,0.17,1.7573,0.5,0.21,0.34345,NA,0.02,0.088775,0.263,0.066,0.090958,2410,330,6.0528,29.9,3.6,1.1108,28.9,3,2.03,NA,0.00087,0.035513,NA,0.0061,0.054312,NA,0.0088,0.037129,NA,0.00074,0,NA,0.1,0.38871,NA,0.00017,0.017227,NA,0.14,0.24073,NA,0.048,0.094475,6.7,1.4,2.7795,NA,0.0081,0.1151,NA,0.00018,0,NA,0.00071,0.11534,NA,0.0068,0.01194,1.55,0.46,0.011256,NA,0.051,0.11073,NA,0.0093,0.037819,NA,0.087,0.2121,0.07,0.069,0.056232,0.101,0.069,0.041229,NA,0.013,0.090059,NA,0.00059,0.42407,NA,0.00033,0.090986,NA,NA,NA
269,CANIF-37-3.1_8.d,26/11/2015 (5) 15:31:19.98,26/11/2015 (5),0.646759028,37.917,"CANIF-37-3.1_8.d, 3:31:19 PM (37.9 sec)",Anhedral (hydrothermal),Anhedral,Epigenetic,Holandez,NA,2.2,7.3743,285,66,3.0309,760,150,297.82,0.88,0.3,0.25105,471000,20000,1070.7,454000,17000,355.81,18,11,0.35916,NA,160,550.31,8.6,2.1,0.5934,0.25,0.1,0.11007,3.12,0.94,0.79068,2.79,0.54,0.80485,94.4,7.3,0.016233,66.3,4.8,1.227,36,18,0.29079,0.55,0.28,0.3416,NA,0.12,0.26554,NA,0.15,0.41124,181,12,1.0876,NA,0.92,3.921,NA,1.3,5.082,0.005,0.02,0,NA,0.0019,0.15727,NA,0.0017,0,0.075,0.038,0.023093,NA,0.012,0.56441,NA,0.00033,0.015779,0.39,0.22,0.33224,12.11,0.95,0.43734,6.17,0.99,1.0033,0,1,0,0,1,0,NA,1,0.098956,NA,0.016,0,0.56,0.093,0.037048,NA,0.12,0.29557,0.68,0.12,0.081229,34.4,2.3,0,21.8,1.9,0.19615,16,1.1,0,18,1.7,0.067183,0.000624,5.40E-05,0,0,1,0,NA,NA,NA
270,CANIF-37-3.1_9.d,26/11/2015 (5) 15:33:20.55,26/11/2015 (5),0.648154514,38.058,"CANIF-37-3.1_9.d, 3:33:20 PM (38.0sec)",Anhedral (hydrothermal),Anhedral,Epigenetic,Holandez,NA,2.8,12.011,NA,1.3,3.7361,NA,100,364.32,1.04,0.35,0.25313,598000,26000,1992.5,559000,22000,390.39,17,13,0.63189,NA,170,692.43,13.6,3.3,3.0923,NA,0.038,0.041653,NA,0.15,0.80327,NA,0.67,1.1158,382,39,0.042323,161.8,8,1.57,0.58,0.31,0.29975,NA,0.29,0.90171,NA,0.05,0.15163,0.51,0.22,0.49329,1038,78,1.436,28.8,3.9,2.426,31.6,3.7,8.4018,NA,0.0012,0.091635,NA,0.0022,0.3326,0.15,0.24,0.10116,NA,0.00092,0,NA,0.014,0,NA,0.00038,0,NA,0.28,0.63237,NA,0.15,0.40441,NA,0.19,1.2382,NA,1,0.86945,0,1,0,0,1,0,NA,0.0017,0,NA,0.00042,0,NA,0.19,0.38974,NA,0.0011,0.13323,NA,0.0025,0.21834,NA,0.038,0.33788,NA,0.055,0.049921,0.045,0.047,0.036737,0.000893,7.10E-05,0,NA,1,0.075786,NA,NA,NA
271,CANIF-37-3.1_10C.d,26/11/2015 (5) 15:35:22.86,26/11/2015 (5),0.649570139,38.073,"CANIF-37-3.1_10C.d, 3:35:22 PM (38.0 sec)",Inclusion-bearing (core),Inclusion-bearing,Detrital,Holandez,790,130,9.3642,1330,220,5.2334,1950,290,409.81,16.8,2.5,0.31945,613000,32000,1863.9,586000,25000,510.44,10,11,0.68368,700,260,669.22,10.4,2.9,2.6285,3.45,0.62,0.12812,4.2,1.1,0.99272,37.2,5.3,0.97948,501,46,0.077222,84.6,6.8,1.6909,23,10,0.34236,4,1.1,0.67022,NA,0.093,0.20338,NA,0.23,0.58088,131,7.5,1.7496,20.2,3.4,2.2908,20.6,3.9,6.3292,0.187,0.092,0.045321,31.8,4.5,0,NA,0.0023,0.1027,0.213,0.081,0.030568,NA,0.15,0,NA,0.00043,0,NA,0.24,0.61986,5.3,1,0.54233,4.2,1.1,1.7594,NA,1,0.55442,NA,1,0.031403,NA,1,0.1303,NA,0.002,0.13024,1.49,0.38,0.044139,NA,0.2,0.39281,NA,0.0012,0.10689,76.9,9.3,0,55.3,7.9,0.40549,44.3,6.5,0.11188,16.6,1.9,0.037282,0.155,0.06,0,0.042,0.034,0,NA,NA,NA
